"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"DIST";"DIST_ID";"MF";"MPN";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"C1";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C2";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";
"C3";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";
"C4";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"C5";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"CAP-11015";"";"";"10uF";
"C6";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"CAP-11015";"";"";"10uF";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"";"DIO-00819";"";"";"RED";
"D2";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"";"DIO-00819";"";"";"RED";
"D3";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"";"DIO-00819";"";"";"RED";
"D4";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"DIO-00821";"";"";"GREEN";
"D5";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"";"DIO-09003";"";"";"Yellow";
"D6";"SS14-LTP_SCHOTTKY_DIODE_SMT_DO-214AC";"SS14-LTP_SCHOTTKY_DIODE_SMT_DO-214AC";"DO-214AC";"DIODE SCHOTTKY 1A 40V SMA";"SS14-LTPMSCT-ND";"";"";"Micro Commercial Co";"SS14-LTP";"";"";"";"";
"D7";"SS14-LTP_SCHOTTKY_DIODE_SMT_DO-214AC";"SS14-LTP_SCHOTTKY_DIODE_SMT_DO-214AC";"DO-214AC";"DIODE SCHOTTKY 1A 40V SMA";"SS14-LTPMSCT-ND";"";"";"Micro Commercial Co";"SS14-LTP";"";"";"";"";
"J1";"PROG_HDR";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"";"";"";"";"";"";
"J2";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"CONN-11443";"PRT-08612";"";"";
"J3";"";"USB_C16PIN";"USB-C-16P";"USB Type C 16Pin Connector";"";"";"";"";"";"CONN-14122";"";"";"";
"J4";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"JP3";"";"M03PTH";"1X03";"Header 3";"";"";"";"";"";"";"";"";"";
"Q1";"";"IRF7509";"MSOP8";"30V Dual PMOS/NMOS MSOP-8";"";"";"";"";"";"TRANS-07913";"";"";"";
"R1";"1M";"1MOHM1/10W1%(0603)";"0603-RES";"RES-07868";"";"";"";"";"";"RES-07868";"";"";"";
"R2";"1M";"1MOHM1/10W1%(0603)";"0603-RES";"RES-07868";"";"";"";"";"";"RES-07868";"";"";"";
"R3";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R4";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R5";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"RES-08306";"";"";"1.5k";
"R6";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"RES-08306";"";"";"1.5k";
"R7";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"RES-08306";"";"";"1.5k";
"R8";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"RES-07856";"";"";"1k";
"R9";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R10";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"RES-00824";"";"";"10k";
"R11";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"RES-12083";"";"";"5.1k";
"R12";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"RES-12083";"";"";"5.1k";
"R13";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R14";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R15";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R16";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R17";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"RES-08306";"";"";"1.5k";
"R18";"10k";"10K-1%RES-00824";"0603-RES";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"R19";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"RES-08306";"";"";"1.5k";
"RTHERM";"THERM";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"S1";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S2";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S3";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S4";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S5";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"S6";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"";"SWCH-10651";"";"COM-10860";"";
"U1";"ADXL362";"ADXL362ADXL362-1:1";"ADXL362-1:1";"Micropower 3-axis accelerometer";"";"";"";"";"";"";"";"";"";
"U2";"";"ATTINY2313A";"SOP20W";"ATTINY2313A";"";"DIGIKEY";"ATTINY2313A-SU-ND";"";"";"IC-11305";"";"";"ATTINY2313A";
"U3";"ADP160-3.3";"ADP160";"SOT23-5";"Nanopower LDO";"";"Digikey";"ADP160AUJZ-3.3-R7TR-ND";"";"";"VREG-11306";"";"";"ADP160";
"U4";"MCP73833";"MCP73833";"DFN-10";"";"";"";"";"";"";"IC-14369";"";"";"MCP73833";
"X1";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+_PIN";"2x20 header connector, all pins connected";"";"";"";"";"";"";"";"";"";
